ts_code,trade_date,open,high,low,close,pre_close,vol,amount,report_date,actual_publish_date,roe,pe,is_suspended,is_limit_up,is_limit_down
600519.SH,2023-01-02,48.16670015666305,49.31252695682335,46.43995257098898,48.205534632896565,47.87623976390616,7109918.52018085,342737423.46165067,2022-12-31,2023-02-20,,38.87995089067299,0,0,0
600519.SH,2023-01-03,49.4388383335274,51.751776962820685,48.73711034362725,49.839681536194746,50.24444365322397,997003.7018749259,49690346.99185356,2022-12-31,2023-02-28,0.22797440155188964,11.85801650879991,0,0,0
600519.SH,2023-01-04,49.79643265425532,52.621120025071974,49.49067552184553,50.50068930800565,51.0884660437592,6873906.962470354,347137039.84385216,2022-12-31,2023-02-13,0.14737199105233195,34.399866311304834,0,0,0
600519.SH,2023-01-05,49.44063613363155,51.153567860832304,48.17374837379352,50.06152821789193,49.66365811731291,2158622.462395069,108063939.31296612,2022-12-31,2023-02-02,0.13692332899977053,13.53970008207678,0,0,0
600519.SH,2023-01-06,51.68457905535487,52.36801865925134,48.377421532512344,49.364715849502396,50.84273656237994,3631857.9342665337,179285634.93082818,2022-12-31,2023-02-26,0.06400778958026457,21.039967280901735,0,0,0
600519.SH,2023-01-07,51.53351110114566,51.53351110114566,51.0181759901342,51.53351110114566,46.848646455586966,7142285.332211635,368067040.4550781,2022-12-31,2023-02-01,0.03166089305568512,12.961786069363615,0,1,0
600519.SH,2023-01-09,48.893207669611876,49.83565892979519,46.35018261827788,48.85848914685803,47.78369342090503,6411818.9664166095,313271787.38228434,2022-12-31,2023-02-25,0.1163422611985007,43.95655297064336,0,0,0
600519.SH,2023-01-10,49.82971608277718,52.25989495443311,49.215629228932144,50.610375950985905,50.737762091682626,8968059.597167842,453876867.7635117,2022-12-31,2023-02-15,0.05172211640525126,30.342827646588113,0,0,0
600519.SH,2023-01-11,49.277365823017206,52.07747591105473,49.04383653759522,50.94705347166894,50.56065622432497,2968539.3838463034,151238334.7215728,2022-12-31,2023-02-20,0.026651605741023696,14.219770393210824,0,0,0
600519.SH,2023-01-12,51.68610036061203,54.471816711302694,51.298701174721955,52.54776580199381,52.885258943012325,3627348.5969620515,190609064.55535272,2022-12-31,2023-02-28,0.13753929427947106,19.117406501677667,0,0,0
600519.SH,2023-01-13,59.12221396430703,59.12221396430703,58.53099182466396,59.12221396430703,53.747467240279114,4232368.931172912,250227021.52469036,2022-12-31,2023-02-03,0.085402366458719,20.776493351940857,0,1,0
600519.SH,2023-01-14,49.56508800630356,51.84376728177234,48.78958372400044,49.78528951428616,50.33375464249741,2544073.022102152,126657411.95084058,2022-12-31,2023-02-05,0.04637340827821712,11.475477894181312,0,0,0
600519.SH,2023-01-16,48.45984948901919,51.00027247042943,48.02938281195781,49.3490906546936,49.51482764119362,4945582.326747874,244059990.5829313,2022-12-31,2023-02-04,0.11507736711668062,36.885421896235144,0,0,0
600519.SH,2023-01-17,50.64950245168065,51.86522117552411,48.547847954443526,50.8482560544354,50.04932778808611,5404169.372340109,274792588.00628734,2022-12-31,2023-02-14,0.1014049731674101,37.832512271635274,0,0,0
600519.SH,2023-01-18,49.00623378106184,51.209782021652856,47.826651097123694,50.20566864867927,49.3058258733234,1052147.8558050655,52823786.617967494,2022-12-31,2023-02-07,0.13027415654238375,25.469413852021496,0,0,0
600519.SH,2023-01-19,50.715686866708445,51.74049821778735,48.7264886128677,49.93504466096222,50.23349341532752,8190499.781992037,408992972.4093737,2022-12-31,2023-02-23,0.10314122998665913,45.305453727573585,0,0,0
600519.SH,2023-01-20,52.600083233388176,54.49028851261312,51.31609694877157,53.04466835281346,52.903192730692346,8888923.977733502,471510024.41224504,2022-12-31,2023-02-18,,16.465148563784552,0,0,0
600519.SH,2023-01-23,,,,,52.411527294055524,0.0,0.0,2022-12-31,2023-02-27,0.09285045326462367,27.936965719449894,1,0,0
600519.SH,2023-01-24,43.58777364809811,44.02365138457909,43.58777364809811,43.58777364809811,48.4308596089979,4989547.780316003,217483279.25478426,2022-12-31,2023-02-14,0.14816880646221608,36.30451569201374,0,0,1
600519.SH,2023-01-25,54.72616105953579,54.822328709489184,51.25917099834259,52.30527652892101,53.225561853872996,3991667.474200928,208785271.04957923,2022-12-31,2023-02-20,0.05920948575172809,27.375774620417147,0,0,0
600519.SH,2023-01-26,54.660837495950254,56.753711004872876,52.574705726466206,53.64765890455735,55.10069029599308,5762841.572170912,309162958.9848281,2022-12-31,2023-02-15,,49.78202043189364,0,0,0
600519.SH,2023-01-27,48.535563601085194,50.50450281193903,47.56249293939889,48.8195799636494,49.03349787566896,5572373.1716713505,272040917.64170414,2022-12-31,2023-02-01,0.0891271511547988,17.636441246013842,0,0,0
600519.SH,2023-01-28,50.522806253226285,53.301969862295024,49.57573205476209,50.58748168853275,51.74948530319905,3023376.8253474934,152945019.78980058,2022-12-31,2023-02-24,0.16948014140732956,37.88062963981072,0,0,0
600519.SH,2023-01-30,51.35363812489054,51.6490011020084,48.24461131137368,49.22919521568743,50.14466126408582,5162289.748723284,254135369.7998406,2022-12-31,2023-02-23,0.07220275511126914,45.464685958026394,0,0,0
600519.SH,2023-01-31,,,,,52.74453034307223,0.0,0.0,2022-12-31,2023-02-20,0.1074916858169799,20.01005442063456,1,0,0
600519.SH,2023-02-01,,,,,53.381814736142644,0.0,0.0,2022-12-31,2023-02-03,0.06423481453700158,34.915619032760006,1,0,0
600519.SH,2023-02-02,56.655989261279764,58.0644306375331,52.92241963293327,56.92591238973833,54.559195497869354,9760935.586679092,555650164.0491731,2022-12-31,2023-02-26,0.13169595111590057,11.642700670715032,0,0,0
600519.SH,2023-02-03,48.08070741864237,52.20469654268109,47.71784219692153,48.69167571114442,50.68417140066125,4340313.301907067,211337127.78122538,2022-12-31,2023-02-10,0.08328764544248163,20.009715926583812,0,0,0
600519.SH,2023-02-06,53.319338895638474,54.5532353725882,51.375377001369465,53.390453038613295,52.96430618697883,4254040.61803512,227125155.84155756,2022-12-31,2023-02-10,0.1825675493239745,16.345857905699642,0,0,0
600519.SH,2023-02-07,54.54071816067449,54.61186423605292,51.139540618513784,52.18320471276917,53.02122741364361,1835769.6719044514,95796344.59448308,2022-12-31,2023-02-14,,29.664635004673293,0,0,0
600519.SH,2023-02-08,51.625204735256105,52.74641850257149,49.673811599509065,51.128057494124654,51.210115051040276,548509.6967432408,28044235.311173294,2022-12-31,2023-02-08,0.158158187607748,36.347745264757805,0,0,0
600519.SH,2023-02-09,55.34471131115827,55.53808010570035,52.30285213837799,54.02270157427923,53.92046612203917,5797194.360971201,313180100.9308416,2022-12-31,2023-02-16,0.080734320156912,15.140014129356407,0,0,0
600519.SH,2023-02-10,53.99558623325168,56.61339524217615,53.31356239315057,55.50332866880015,54.962435456856255,2812215.1604792243,156087302.33946094,2022-12-31,2023-02-10,0.07567836169738197,22.75902521175045,0,0,0
